"uuid","viewDistance","px2mm","cardWidthPx"
"18dab214-bc4a-491a-8134-de7999e34810",54.055,3.47,297
"190bbced-9044-4c81-96ff-b2b529837cb9",62.323,4.73,405
"190bbced-9044-4c81-96ff-b2b529837cb9",48.257,4.73,405
"190bbced-9044-4c81-96ff-b2b529837cb9",42.511,4.73,405
"19966cba-b06b-4a21-bc37-658d2edfd56d",31.724,4.1,351
"19966cba-b06b-4a21-bc37-658d2edfd56d",49.145,4.1,351
"19966cba-b06b-4a21-bc37-658d2edfd56d",55.307,4.1,351
"19d55dd0-0149-4b9c-a697-d995bc787592",35.516,5.26,450
"19d55dd0-0149-4b9c-a697-d995bc787592",28.374,5.26,450
"19d55dd0-0149-4b9c-a697-d995bc787592",27.667,5.26,450
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",56.141,4.52,387
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",58.701,4.52,387
"1a1f3ab7-76f4-49bb-89a5-ef3a7287d7ab",56.456,4.52,387
"1a743b0f-f540-49ad-8aa0-0fa29d6daa89",45.696,5.26,450
"1a743b0f-f540-49ad-8aa0-0fa29d6daa89",44.777,5.26,450
"1a743b0f-f540-49ad-8aa0-0fa29d6daa89",46.233,5.26,450
"1aa28ffb-054f-47b1-8b9d-4b90fbe93116",27.306,5.26,450
"1aa28ffb-054f-47b1-8b9d-4b90fbe93116",29.535,5.26,450
"1aa28ffb-054f-47b1-8b9d-4b90fbe93116",30.276,5.26,450
"1ac853ad-be95-4fc8-87c4-5012a83ac636",30.656,3.89,333
"1ac853ad-be95-4fc8-87c4-5012a83ac636",25.575,3.89,333
"1ac853ad-be95-4fc8-87c4-5012a83ac636",26.256,3.89,333
"1aca020a-58fe-4e51-a49d-e5aa75385864",49.948,3.89,333
"1aca020a-58fe-4e51-a49d-e5aa75385864",56.139,3.89,333
"1aca020a-58fe-4e51-a49d-e5aa75385864",51.828,3.89,333
"1b50fbaa-7cf9-485a-95b6-cfead1662797",59.159,4.21,360
