"uuid","viewDistance","session"
"1f51d142-4779-4da9-ae0e-1486e77affc5",45.473,3
"1f51d142-4779-4da9-ae0e-1486e77affc5",46.687,1
"1fc1fbdf-ed81-42e1-b511-b3e9e24d27a9",37.755,2
"1fc1fbdf-ed81-42e1-b511-b3e9e24d27a9",42.249,3
"1fc1fbdf-ed81-42e1-b511-b3e9e24d27a9",47.945,1
"1ff936db-7b0f-4796-84e0-29bbd27cad8e",61.098,2
"1ff936db-7b0f-4796-84e0-29bbd27cad8e",62.048,3
"1ff936db-7b0f-4796-84e0-29bbd27cad8e",63.565,1
"1ffbbb1c-dadc-4fe4-9442-d9430a90e79c",45.517,2
"1ffbbb1c-dadc-4fe4-9442-d9430a90e79c",53.202,3
"1ffbbb1c-dadc-4fe4-9442-d9430a90e79c",48.196,1
"2022c76f-d34e-4679-ba96-af45b563b5e7",43.903,3
"2022c76f-d34e-4679-ba96-af45b563b5e7",45.042,2
"2022c76f-d34e-4679-ba96-af45b563b5e7",46.627,1
"2084ccec-f9ea-48f1-be3f-ef279406e2a5",44.695,3
"2084ccec-f9ea-48f1-be3f-ef279406e2a5",45.398,2
"2084ccec-f9ea-48f1-be3f-ef279406e2a5",52.622,1
"20b66514-9ee3-4cb2-bbb8-9aa6fe546684",47.445,2
"20b66514-9ee3-4cb2-bbb8-9aa6fe546684",47.978,3
"20b66514-9ee3-4cb2-bbb8-9aa6fe546684",43.705,1
"2104df8a-5f24-4655-9b02-016b06ebe984",51.058,3
"2104df8a-5f24-4655-9b02-016b06ebe984",54.321,2
"2104df8a-5f24-4655-9b02-016b06ebe984",59.579,1
"22466610-caa5-4776-ae2e-523a985000d2",40.122,3
"22466610-caa5-4776-ae2e-523a985000d2",54.507,2
"22466610-caa5-4776-ae2e-523a985000d2",66.807,1
"227a5739-8f7f-45e2-9ebf-8502e391581f",55.332,3
"227a5739-8f7f-45e2-9ebf-8502e391581f",56.718,2
"227a5739-8f7f-45e2-9ebf-8502e391581f",53.57,1
"2291d56b-2586-4fb3-84b1-c8b372210421",51.685,3
"2291d56b-2586-4fb3-84b1-c8b372210421",66.883,2
"2291d56b-2586-4fb3-84b1-c8b372210421",64.94,1
"2328e1d3-93a9-44ab-ba2b-c9d953c25532",40.987,3
"2328e1d3-93a9-44ab-ba2b-c9d953c25532",61.927,2
"2328e1d3-93a9-44ab-ba2b-c9d953c25532",28.585,1
"233748e0-52e6-4460-9b40-e015e43f5442",34.083,2
"233748e0-52e6-4460-9b40-e015e43f5442",34.839,3
"233748e0-52e6-4460-9b40-e015e43f5442",38.02,1
"237a3091-a492-4b9e-a297-bc5cf0cdd1db",52.653,2
"237a3091-a492-4b9e-a297-bc5cf0cdd1db",63.582,3
"237a3091-a492-4b9e-a297-bc5cf0cdd1db",35.487,1
"23ab9642-aaa1-41ab-a611-0e585cdc1001",33.602,2
"23ab9642-aaa1-41ab-a611-0e585cdc1001",34.285,3
"23ab9642-aaa1-41ab-a611-0e585cdc1001",35.75,1
"243a62c2-a794-4cba-9161-0bb6355d6ce5",62.208,2
"243a62c2-a794-4cba-9161-0bb6355d6ce5",63.106,3
"243a62c2-a794-4cba-9161-0bb6355d6ce5",62.72,1
"24729c1d-51ad-4b06-a030-d285e24ebce0",57.882,2
"24729c1d-51ad-4b06-a030-d285e24ebce0",59.424,3
"24729c1d-51ad-4b06-a030-d285e24ebce0",58.425,1
"24a059d9-7d7e-4350-9006-61bcf97f716e",48.131,2
"24a059d9-7d7e-4350-9006-61bcf97f716e",50.821,3
"24a059d9-7d7e-4350-9006-61bcf97f716e",47.679,1
"24f25b45-9637-469c-b2cf-96a1c134ea92",40.789,2
"24f25b45-9637-469c-b2cf-96a1c134ea92",41.387,3
"24f25b45-9637-469c-b2cf-96a1c134ea92",42.548,1
"25c4112f-36e0-446a-9695-8c0c59f2300b",39.787,2
"25c4112f-36e0-446a-9695-8c0c59f2300b",56.725,3
"25c4112f-36e0-446a-9695-8c0c59f2300b",60.484,1
"25d81f19-8f5d-4c79-98d2-ab7397307b87",46.586,2
"25d81f19-8f5d-4c79-98d2-ab7397307b87",49.056,3
"25d81f19-8f5d-4c79-98d2-ab7397307b87",51.119,1
"25fff7e3-e279-4919-bdc2-52e8aa0bb4f7",59.879,2
"25fff7e3-e279-4919-bdc2-52e8aa0bb4f7",61.5,3
"25fff7e3-e279-4919-bdc2-52e8aa0bb4f7",61.684,1
"262e6b68-b507-4aa8-925c-faa7c87865e2",43.112,3
"262e6b68-b507-4aa8-925c-faa7c87865e2",51.355,2
"262e6b68-b507-4aa8-925c-faa7c87865e2",41.315,1
"26780d58-7a40-4f44-b0bc-08426e061e3d",46.926,3
"26780d58-7a40-4f44-b0bc-08426e061e3d",48.072,2
"26780d58-7a40-4f44-b0bc-08426e061e3d",55.117,1
"26a1b392-ec18-4683-9603-d116cca470f2",52.76,3
"26a1b392-ec18-4683-9603-d116cca470f2",54.482,2
"26a1b392-ec18-4683-9603-d116cca470f2",26.516,1
"26dcc9ee-9a2e-489e-a25f-37defd8636b3",41.629,2
"26dcc9ee-9a2e-489e-a25f-37defd8636b3",43.597,3
"26dcc9ee-9a2e-489e-a25f-37defd8636b3",50.095,1
"26e0affd-70d2-4a61-b127-e66d45bc1730",36.01,3
"26e0affd-70d2-4a61-b127-e66d45bc1730",36.076,2
"26e0affd-70d2-4a61-b127-e66d45bc1730",37.154,1
"27787d55-0368-4892-abda-e0bad67d4f58",51.513,2
"27787d55-0368-4892-abda-e0bad67d4f58",51.545,3
"27787d55-0368-4892-abda-e0bad67d4f58",56.98,1
"27f2a33f-8b75-453c-8fdb-6114b12541ff",44.73,2
"27f2a33f-8b75-453c-8fdb-6114b12541ff",47.754,3
"27f2a33f-8b75-453c-8fdb-6114b12541ff",56.482,1
"285a6bf8-9b10-49ab-8d56-5a62545f0ede",39.821,3
"285a6bf8-9b10-49ab-8d56-5a62545f0ede",40.505,2
"285a6bf8-9b10-49ab-8d56-5a62545f0ede",35.206,1
"28cf1e23-d365-4549-b40c-a158f08d0360",52.912,3
"28cf1e23-d365-4549-b40c-a158f08d0360",53.942,2
"28cf1e23-d365-4549-b40c-a158f08d0360",54.908,1
"28e36813-20e1-40ac-9bfb-19be98fcdab0",25.69,2
"28e36813-20e1-40ac-9bfb-19be98fcdab0",38.857,3
"28e36813-20e1-40ac-9bfb-19be98fcdab0",25.422,1
